full_name,pr_number,issue_number,issue_to_pr_days,pr_to_merge_days,merge_to_release_days
AnyBlok/AnyBlok,191,,,0.03680555555555556,
AnyBlok/AnyBlok,192,,,0.24861111111111112,
AnyBlok/AnyBlok,193,,,0.06391203703703703,
AnyBlok/AnyBlok,194,,,671.6771990740741,
AnyBlok/AnyBlok,198,,,3.807048611111111,
AnyBlok/AnyBlok,199,,,0.290474537037037,
AnyBlok/AnyBlok,200,,,0.013472222222222222,
AnyBlok/AnyBlok,201,,,0.0020601851851851853,
AnyBlok/AnyBlok,202,,,0.4725,
AnyBlok/AnyBlok,203,,,0.06815972222222222,
AnyBlok/AnyBlok,204,,,0.04618055555555556,
AnyBlok/AnyBlok,205,,,0.00032407407407407406,
AnyBlok/AnyBlok,209,,,0.000787037037037037,
AnyBlok/AnyBlok,210,,,0.0002546296296296296,
AnyBlok/AnyBlok,212,,,1.692060185185185,
AnyBlok/AnyBlok,213,,,1.1532638888888889,
AnyBlok/AnyBlok,214,,,0.04394675925925926,
AnyBlok/AnyBlok,215,,,1.9262152777777777,
AnyBlok/AnyBlok,216,,,0.023726851851851853,
AnyBlok/AnyBlok,217,,,0.013854166666666667,
AnyBlok/AnyBlok,218,,,1.361423611111111,
AnyBlok/AnyBlok,219,,,0.09444444444444444,
AnyBlok/AnyBlok,220,,,0.6591435185185185,
AnyBlok/AnyBlok,221,,,0.6138773148148148,
AnyBlok/AnyBlok,222,,,0.23938657407407407,
AnyBlok/AnyBlok,225,,,1.2369907407407408,
AnyBlok/AnyBlok,226,,,0.1973263888888889,
AnyBlok/AnyBlok,229,,,1.1010532407407407,
AnyBlok/AnyBlok,230,,,0.29268518518518516,
AnyBlok/AnyBlok,232,,,8.211296296296297,
AnyBlok/AnyBlok,235,,,0.09923611111111111,
AnyBlok/AnyBlok,236,,,0.07569444444444444,
AnyBlok/AnyBlok,237,,,14.13394675925926,
AnyBlok/AnyBlok,238,,,2.0848726851851853,
AnyBlok/AnyBlok,239,,,8.969398148148148,
AnyBlok/AnyBlok,241,,,1.7479976851851853,
AnyBlok/AnyBlok,242,,,2.976076388888889,
AnyBlok/AnyBlok,243,,,8.326666666666666,
AnyBlok/AnyBlok,244,,,0.2667476851851852,
AnyBlok/AnyBlok,245,,,0.1486574074074074,
AnyBlok/AnyBlok,246,,,11.439490740740741,
AnyBlok/AnyBlok,247,,,21.749270833333334,
AnyBlok/AnyBlok,248,,,16.66482638888889,
AnyBlok/AnyBlok,250,,,13.482106481481482,
ploigos/ploigos-step-runner,1,,,0.001585648148148148,126.24508101851852
ploigos/ploigos-step-runner,2,,,0.0015625,126.19248842592593
ploigos/ploigos-step-runner,3,,,0.0007060185185185185,126.18237268518519
ploigos/ploigos-step-runner,4,,,0.0014467592592592592,126.0866550925926
ploigos/ploigos-step-runner,5,,,0.0007175925925925926,126.05916666666667
ploigos/ploigos-step-runner,6,,,0.0005555555555555556,125.37469907407407
ploigos/ploigos-step-runner,7,,,0.000625,125.36083333333333
ploigos/ploigos-step-runner,8,,,0.0007291666666666667,125.07835648148148
ploigos/ploigos-step-runner,9,,,0.004803240740740741,123.36638888888889
ploigos/ploigos-step-runner,10,,,0.013842592592592592,123.33497685185185
ploigos/ploigos-step-runner,11,,,3.96568287037037,119.36505787037036
ploigos/ploigos-step-runner,13,,,0.00787037037037037,123.20171296296296
ploigos/ploigos-step-runner,14,,,0.002476851851851852,123.10493055555555
ploigos/ploigos-step-runner,15,,,0.0008449074074074074,122.97706018518518
ploigos/ploigos-step-runner,16,,,0.0006712962962962962,122.25979166666667
ploigos/ploigos-step-runner,17,,,0.01730324074074074,111.25837962962963
ploigos/ploigos-step-runner,18,,,0.07006944444444445,110.33488425925925
ploigos/ploigos-step-runner,19,,,0.050451388888888886,110.34326388888888
ploigos/ploigos-step-runner,20,,,0.14583333333333334,110.20121527777778
ploigos/ploigos-step-runner,21,,,0.17002314814814815,105.11175925925926
ploigos/ploigos-step-runner,22,,,0.1267939814814815,105.11521990740741
ploigos/ploigos-step-runner,23,,,0.01380787037037037,104.06842592592592
ploigos/ploigos-step-runner,24,,,0.7229861111111111,85.35746527777778
ploigos/ploigos-step-runner,25,,,0.005717592592592593,85.20204861111111
ploigos/ploigos-step-runner,26,,,4.710763888888889,79.31599537037037
ploigos/ploigos-step-runner,27,,,6.884837962962963,72.3096412037037
ploigos/ploigos-step-runner,28,,,0.001863425925925926,72.26094907407408
ploigos/ploigos-step-runner,29,,,0.010671296296296297,72.11040509259259
ploigos/ploigos-step-runner,30,,,0.020474537037037038,69.09597222222222
ploigos/ploigos-step-runner,31,,,0.6039699074074074,68.17300925925926
ploigos/ploigos-step-runner,33,,,0.7389583333333334,61.34304398148148
ploigos/ploigos-step-runner,34,,,0.6280092592592592,61.43318287037037
ploigos/ploigos-step-runner,35,,,0.05295138888888889,61.21769675925926
ploigos/ploigos-step-runner,37,,,0.8367592592592593,56.32385416666666
ploigos/ploigos-step-runner,38,,,0.12832175925925926,56.99979166666667
ploigos/ploigos-step-runner,39,,,0.03872685185185185,56.075208333333336
ploigos/ploigos-step-runner,40,,,0.4612615740740741,55.38021990740741
ploigos/ploigos-step-runner,41,,,0.3623148148148148,54.9737962962963
ploigos/ploigos-step-runner,42,,,0.09255787037037037,55.10564814814815
ploigos/ploigos-step-runner,43,,,0.14055555555555554,54.98766203703704
ploigos/ploigos-step-runner,44,,,0.2134375,54.210659722222225
ploigos/ploigos-step-runner,45,,,0.19855324074074074,54.185625
ploigos/ploigos-step-runner,46,,,0.010138888888888888,54.14439814814815
ploigos/ploigos-step-runner,47,,,0.004918981481481482,54.140659722222225
ploigos/ploigos-step-runner,48,,,6.7855439814814815,47.353680555555556
ploigos/ploigos-step-runner,49,,,0.06957175925925926,49.30770833333333
ploigos/ploigos-step-runner,50,,,6.113576388888889,43.07961805555556
ploigos/ploigos-step-runner,51,,,0.3458101851851852,48.09658564814815
ploigos/ploigos-step-runner,52,,,0.7236805555555555,44.08768518518519
ploigos/ploigos-step-runner,53,,,0.18425925925925926,43.154386574074074
ploigos/ploigos-step-runner,54,,,0.03436342592592593,42.425636574074076
ploigos/ploigos-step-runner,55,,,0.09599537037037037,42.09476851851852
ploigos/ploigos-step-runner,56,,,0.09023148148148148,41.42994212962963
ploigos/ploigos-step-runner,57,,,2.7042824074074074,27.35071759259259
ploigos/ploigos-step-runner,58,,,0.6326851851851852,28.333854166666665
ploigos/ploigos-step-runner,59,,,1.7863425925925926,26.324872685185184
ploigos/ploigos-step-runner,60,,,0.13043981481481481,27.15056712962963
ploigos/ploigos-step-runner,61,,,3.5668865740740743,23.391840277777778
ploigos/ploigos-step-runner,62,,,3.1611574074074076,23.150578703703705
ploigos/ploigos-step-runner,63,,,0.01085648148148148,23.25638888888889
ploigos/ploigos-step-runner,64,,,0.07479166666666667,23.16107638888889
ploigos/ploigos-step-runner,65,,,0.12292824074074074,21.078854166666666
ploigos/ploigos-step-runner,66,,,0.6634722222222222,20.458125
ploigos/ploigos-step-runner,67,,,6.9132291666666665,14.20474537037037
ploigos/ploigos-step-runner,69,,,1.9103009259259258,14.431157407407408
ploigos/ploigos-step-runner,70,,,0.9276388888888889,14.14425925925926
ploigos/ploigos-step-runner,71,,,0.10128472222222222,14.19085648148148
ploigos/ploigos-step-runner,72,,,0.055046296296296295,13.33550925925926
ploigos/ploigos-step-runner,73,,,7.19962962962963,6.123541666666667
ploigos/ploigos-step-runner,74,,,5.7968981481481485,7.441284722222222
ploigos/ploigos-step-runner,75,,,1.005486111111111,12.085011574074073
ploigos/ploigos-step-runner,76,,,0.15658564814814815,12.030185185185186
ploigos/ploigos-step-runner,77,,,1.1176851851851852,7.093715277777778
ploigos/ploigos-step-runner,78,,,6.273043981481481,0.062233796296296294
ploigos/ploigos-step-runner,79,,,0.018136574074074076,5.309131944444444
ploigos/ploigos-step-runner,80,,,6.8182986111111115,3.815462962962963
ploigos/ploigos-step-runner,81,,,0.9329282407407408,3.841527777777778
ploigos/ploigos-step-runner,82,,,0.6883101851851852,4.048356481481481
ploigos/ploigos-step-runner,84,,,0.23787037037037037,1.7253819444444445
ploigos/ploigos-step-runner,85,,,0.8305671296296296,0.9965856481481481
ploigos/ploigos-step-runner,86,,,0.26851851851851855,0.8969907407407407
ploigos/ploigos-step-runner,89,,,0.10349537037037038,21.167708333333334
